Age,Q1_2021_Unemployed,Q1_2021_Total_labour_force,Q1_2021_Rate,Q4_2021_Unemployed,Q4_2021_Total_labour_force,Q4_2021_Rate,Q1_2022_Unemployed,Q1_2022_Total_labour_force,Q1_2022_rate,Q1_2022_VS_Q4_2021_CHANGE,Q1_2022_VS_Q1_2021_CHANGE,Q2_2021_Unemployed,Q2_2021_Total_labour_force,Q2_2021_Rate,Q2_2022_Unemployed,Q2_2022_Total_labour_force,Q2_2022_rate,Q2_2022_VS_Q1_2022_CHANGE,Q2_2022_VS_Q2_2021_CHANGE,Q3_2021_Unemployed,Q3_2021_TOTAL_LABOUR_FORCE,Q3_2021_RATE,Q2_2022_UNEMPLOYED,Q2_2022_TOTAL_LABOUR_FORCE,Q2_2022_RATE,Q3_2022_UNEMPLOYED,Q3_2022_TOTAL_LABOUR_FORCE,Q3_2022_RATE,Q3_2022_VS_Q2_2022_CHANGE,Q3_2022_VS_Q3_2023_CHANGE,Q3_2022_Unemployed,Q4_2021_UNEMPLOYED,Q4_2021_TOTAL_LABOUR_FORCE,Q4_2021_RATE,Q4_2022_UNEMPLOYED,Q4_2022_TOTAL_LABOUR_FORCE,Q4_2022_RATE,Q4_2022_VS_Q3_2022_CHANGE,Q4_2022_VS_Q4_2021_CHANGE,Q1_2020_UNEMPLOYED,Q1_2020_TOTAL_LABOUR_FORCE,Q1_2020_RATE,Q4_2020_Unemployed,Q4_2020_TOTAL_LABOUR_FORCE,Q4_2020_RATE,Q1_2021_UNEMPLOYED,Q1_2021_TOTAL_LABOUR_FORCE,Q1_2021_RATE,Q1_2021_VS_Q4_2020_CHANGE,Q1_2021_VS_Q1_2020_CHANGE,Q2_2020_Unemployed,Q2_2020_TOTAL_LABOUR_FORCE,Q2_2020_RATE,Q2_2021_UNEMPLOYED,Q2_2021_TOTAL_LABOUR_FORCE,Q2_2021_RATE,Q2_2021_VS_Q1_2021_CHANGE,Q2_2021_VS_Q2_2020_CHANGE,Q3_2021_UNEMPLOYED,Q3_2020_UNEMPLOYED,Q3_2020_TOTAL_LABOUR_FORCE,Q3_2020_RATE,Q3_2021_VS_Q2_2021_CHANGE,Q3_2021_VS_Q3_2020_CHANGE,Q4_2021_VS_Q3_2021_CHANGE,Q4_2021_VS_Q4_2020_CHANGE,Q1_2019_Unemployed,Q1_2019_Total_labour_force,Q1_2019_Rate,Q4_2019_Unemployed,Q4_2019_Total_labour_force,Q4_2019_Rate,Q1_2020_Unemployed,Q1_2020_Total_labour_force,Q1_2020_Rate,Q1_2020_VS_Q4_2019,Q1_2020_VS_Q1_2019,Q2_2019_UNEMPLOYED,Q2_2019_Total_labour_force,Q2_2019_Rate,Q2_2020_Total_labour_force,Q2_2020_Rate,Q2_2020_VS_Q1_2020,Q2_2020_VS_Q2_2019,Q3_2019_UNEMPLOYED,Q3_2019_TOTAL_LABOUR_FORCE,Q3_2019_RATE,Q2_2020_UNEMPLOYED,Q3_2020_VS_Q2_2020,Q3_2020_VS_Q3_2019,Q3_2020_Unemployed,Q3_2020_Total_labour_force,Q3_2020_Rate,Q4_2020_Total_labour_force,Q4_2020_Rate,Q4_2020_VS_Q3_2020,Q4_2020_VS_Q4_2019
15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138914.0,1368947.0,10.1,40964.0,1454566.0,2.8,85906.0,1261037.0,6.8,4.0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290453.0,2288424.0,12.7,364946.0,2432576.0,15.0,392068.0,2406148.0,16.3,1.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226264.0,3057193.0,7.4,263678.0,3024104.0,8.7,286097.0,3154546.0,9.1,0.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139653.0,2940449.0,4.7,134701.0,3219836.0,4.2,195818.0,3223810.0,6.1,1.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79078.0,2339748.0,3.4,91008.0,2333759.0,3.9,99211.0,2467403.0,4.0,0.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45529.0,2019506.0,2.3,48872.0,2090022.0,2.3,102202.0,2073921.0,4.9,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16912.0,1610109.0,1.1,41817.0,1648895.0,2.5,60600.0,1647119.0,3.7,1.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12843.0,1207158.0,1.1,16582.0,1189350.0,1.4,7923.0,1194883.0,0.7,-0.7,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3025.0,995026.0,0.3,31315.0,1029931.0,3.0,26338.0,950856.0,2.8,-0.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8995.0,722067.0,1.2,1741.0,707955.0,0.2,8170.0,726433.0,1.1,0.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961666.0,18548628.0,5.2,1035625.0,19130992.0,5.4,1264333.0,19106156.0,6.6,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88139.0,1239043.0,7.1,,,114320.0,1337566.0,8.3,76614.0,940723.0,8.1,1.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405042.0,2412273.0,16.8,,,528001.0,2404246.0,22.0,285191.0,2446538.0,15.7,-1.1,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280883.0,3146247.0,8.9,,,602219.0,2828767.0,21.3,338042.0,3127575.0,10.8,1.9,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197173.0,3212986.0,6.1,,,189712.0,2860567.0,6.6,143316.0,3211554.0,4.5,-1.6,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109236.0,2463309.0,4.4,,,157765.0,2156195.0,7.3,57467.0,2438287.0,2.4,-2.0,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108093.0,2070069.0,5.2,,,100735.0,1912286.0,5.3,69899.0,2120239.0,3.3,-1.9,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59459.0,1641344.0,3.6,,,39569.0,1503733.0,2.6,37599.0,1688302.0,2.2,-1.4,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7993.0,1188672.0,0.7,,,29444.0,1100879.0,2.7,17060.0,1213177.0,1.4,0.7,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25024.0,948278.0,2.6,,,15083.0,960023.0,1.6,38714.0,1025438.0,3.8,1.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7855.0,717503.0,1.1,,,18019.0,707054.0,2.5,691.0,796912.0,0.1,-1.0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288899.0,19039724.0,6.8,,,1794867.0,17811315.0,10.1,1164592.0,19011744.0,6.1,-0.7,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-19,,,,,,,,,,,,,,,,,,,,,776925.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76614.0,940723.0,8.1,,,76337.0,40271.0,1639847.0,2.5,1.7,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24,,,,,,,,,,,,,,,,,,,,,2393846.0,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385191.0,2446538.0,15.7,,,281558.0,455978.0,2575378.0,17.7,-3.9,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,,,,,,,,,,,,,,,,,,,,,3223259.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338042.0,3127575.0,10.8,,,297502.0,307324.0,3017669.0,10.2,-1.6,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,,,,,,,,,,,,,,,,,,,,,3112573.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143316.0,3211554.0,4.5,,,188291.0,198777.0,3099062.0,6.4,1.5,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,,,,,,,,,,,,,,,,,,,,,2431934.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57467.0,2438287.0,2.4,,,87844.0,99446.0,2361383.0,4.2,1.2,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,,,,,,,,,,,,,,,,,,,,,2124187.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69899.0,2120239.0,3.3,,,62725.0,100214.0,2049239.0,4.9,-0.3,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49,,,,,,,,,,,,,,,,,,,,,1724650.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37599.0,1688302.0,2.2,,,22686.0,85267.0,1645161.0,5.2,-0.9,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,,,,,,,,,,,,,,,,,,,,,1223788.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17060.0,1216177.0,1.4,,,12837.0,43231.0,1146456.0,3.8,-0.4,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59,,,,,,,,,,,,,,,,,,,,,1030592.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38714.0,1025438.0,3.8,,,15225.0,24731.0,977962.0,2.5,-2.3,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64,,,,,,,,,,,,,,,,,,,,,698554.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.0,796912.0,0.1,,,0.0,4921.0,704853.0,0.7,-0.1,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,18740306.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164592.0,19011744.0,6.1,,,1045005.0,1360160.0,19217010.0,7.1,-0.5,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-19,,,,,,,,,,,,,,,,,,,,,776925.0,9.8,,,,,,,,,,74957.0,894934.0,8.4,,,,,,,,,40878.0,1470176.0,2.8,,,,,,,,,,,,,,76337.0,,,,,,-1.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24,,,,,,,,,,,,,,,,,,,,,2393846.0,11.8,,,,,,,,,,361411.0,2483730.0,14.6,,,,,,,,,343085.0,2429400.0,14.1,,,,,,,,,,,,,,281558.0,,,,,,2.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,,,,,,,,,,,,,,,,,,,,,3223259.0,9.2,,,,,,,,,,329393.0,3133366.0,10.5,,,,,,,,,240496.0,3014469.0,8.0,,,,,,,,,,,,,,297502.0,,,,,,1.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,,,,,,,,,,,,,,,,,,,,,3112573.0,6.0,,,,,,,,,,88746.0,3033896.0,2.9,,,,,,,,,129467.0,3207616.0,4.0,,,,,,,,,,,,,,188291.0,,,,,,-3.1,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,,,,,,,,,,,,,,,,,,,,,2431934.0,3.6,,,,,,,,,,128786.0,2406613.0,5.4,,,,,,,,,80393.0,2333110.0,3.4,,,,,,,,,,,,,,87844.0,,,,,,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,,,,,,,,,,,,,,,,,,,,,2124187.0,3.0,,,,,,,,,,21853.0,2059961.0,1.1,,,,,,,,,46790.0,2081556.0,2.2,,,,,,,,,,,,,,62725.0,,,,,,-1.9,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49,,,,,,,,,,,,,,,,,,,,,1724650.0,1.3,,,,,,,,,,35257.0,1696494.0,2.1,,,,,,,,,39470.0,1648326.0,2.4,,,,,,,,,,,,,,22686.0,,,,,,0.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,,,,,,,,,,,,,,,,,,,,,1223788.0,1.0,,,,,,,,,,12200.0,1249659.0,1.0,,,,,,,,,16584.0,1188389.0,1.4,,,,,,,,,,,,,,12837.0,,,,,,0.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59,,,,,,,,,,,,,,,,,,,,,1030592.0,1.5,,,,,,,,,,3213.0,1014043.0,0.3,,,,,,,,,27318.0,1037023.0,2.6,,,,,,,,,,,,,,15225.0,,,,,,-1.2,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64,,,,,,,,,,,,,,,,,,,,,698554.0,0.0,,,,,,,,,,0.0,743736.0,0.0,,,,,,,,,1777.0,721121.0,0.2,,,,,,,,,,,,,,0.0,,,,,,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,18740306.0,5.6,,,,,,,,,,1055816.0,18716433.0,5.6,,,,,,,,,966257.0,19131187.0,5.1,,,,,,,,,,,,,,1045005.0,,,,,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88189.0,793017.0,11.1,73933.0,1784269.0,4.1,138914.0,1368947.0,10.1,6.0,-1.0,,,,,,,,,,,,,,,,,,,,
20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393324.0,2346459.0,16.8,352708.0,2491336.0,14.2,290453.0,2288424.0,12.7,-1.5,-4.1,,,,,,,,,,,,,,,,,,,,
25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286055.0,3010135.0,9.5,224775.0,2992627.0,7.5,226264.0,3057193.0,7.4,-0.1,-2.1,,,,,,,,,,,,,,,,,,,,
30-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150823.0,2980741.0,5.1,129376.0,3020017.0,4.3,139653.0,2940449.0,4.7,0.4,-0.4,,,,,,,,,,,,,,,,,,,,
35-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46216.0,2282042.0,2.0,70108.0,2302653.0,3.0,79078.0,2339748.0,3.4,0.4,1.4,,,,,,,,,,,,,,,,,,,,
40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56444.0,2004356.0,2.8,25861.0,1988423.0,1.3,45529.0,2019506.0,2.3,1.0,-0.5,,,,,,,,,,,,,,,,,,,,
45-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23589.0,1550954.0,1.5,12538.0,1615254.0,0.8,16912.0,1610109.0,1.1,0.3,-0.4,,,,,,,,,,,,,,,,,,,,
50-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22199.0,1127350.0,2.0,24812.0,1165623.0,2.1,12843.0,1207158.0,1.1,-1.0,-0.9,,,,,,,,,,,,,,,,,,,,
55-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16075.0,936104.0,1.7,15484.0,963513.0,1.6,3025.0,995026.0,0.3,-1.3,-1.4,,,,,,,,,,,,,,,,,,,,
60-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8581.0,696041.0,1.2,0.0,708902.0,0.0,8995.0,722067.0,1.2,1.2,0.0,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091495.0,17727199.0,6.2,929595.0,19032617.0,4.9,961666.0,18548627.0,5.2,0.3,-1.0,,,,,,,,,,,,,,,,,,,,
15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116229.0,,,,,,,,,,,,,,,,,,,,,,138914.0,1368947.0,10.1,,,75165.0,1255222.0,6.0,1350244.0,8.6,-1.5,2.6,,,,,,,,,,,,,
20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544414.0,,,,,,,,,,,,,,,,,,,,,,290453.0,2288424.0,12.7,,,349681.0,2509229.0,13.9,2385142.0,22.8,10.1,8.9,,,,,,,,,,,,,
25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614052.0,,,,,,,,,,,,,,,,,,,,,,226264.0,3057193.0,7.4,,,202055.0,3141099.0,6.4,2824302.0,21.7,14.3,15.3,,,,,,,,,,,,,
30-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189074.0,,,,,,,,,,,,,,,,,,,,,,139653.0,2940449.0,4.7,,,84951.0,3048832.0,2.8,2863645.0,6.6,1.9,3.8,,,,,,,,,,,,,
35-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163107.0,,,,,,,,,,,,,,,,,,,,,,79078.0,2339748.0,3.4,,,27508.0,2251552.0,1.2,2153021.0,7.6,4.2,6.4,,,,,,,,,,,,,
40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104574.0,,,,,,,,,,,,,,,,,,,,,,45529.0,2019506.0,2.3,,,73967.0,2026103.0,3.7,1908018.0,5.5,3.2,1.8,,,,,,,,,,,,,
45-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44637.0,,,,,,,,,,,,,,,,,,,,,,16912.0,1610109.0,1.1,,,22622.0,1597792.0,1.4,1483210.0,3.0,1.9,1.6,,,,,,,,,,,,,
50-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32512.0,,,,,,,,,,,,,,,,,,,,,,12843.0,1207158.0,1.1,,,24494.0,1164103.0,2.1,1096210.0,3.0,1.9,0.9,,,,,,,,,,,,,
55-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15535.0,,,,,,,,,,,,,,,,,,,,,,3025.0,995026.0,0.3,,,9107.0,967034.0,0.9,949705.0,1.6,1.3,0.7,,,,,,,,,,,,,
60-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17784.0,,,,,,,,,,,,,,,,,,,,,,8995.0,722067.0,1.2,,,8909.0,708293.0,1.3,698778.0,2.5,1.3,1.2,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841918.0,,,,,,,,,,,,,,,,,,,,,,961666.0,18548627.0,5.2,,,878459.0,18669259.0,4.7,17712275.0,10.4,5.2,5.7,,,,,,,,,,,,,
15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350244.0,8.6,,,,,,,47430.0,1575871.0,3.0,,,,,,,,,,,,,,,,,,,,,,,73583.0,1483474.0,5.0,116229.0,-5.6,-2.0,,,,,,,
20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385142.0,22.8,,,,,,,442936.0,2517389.0,17.6,,,,,,,,,,,,,,,,,,,,,,,402416.0,2511219.0,16.0,544414.0,-5.2,1.6,,,,,,,
25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824302.0,21.7,,,,,,,318799.0,2985707.0,10.7,,,,,,,,,,,,,,,,,,,,,,,241920.0,3073406.0,7.9,614052.0,-11.0,2.8,,,,,,,
30-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2863645.0,6.6,,,,,,,205605.0,3106515.0,6.6,,,,,,,,,,,,,,,,,,,,,,,116580.0,2956090.0,3.9,189074.0,0.0,2.7,,,,,,,
35-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153021.0,7.6,,,,,,,98455.0,2368934.0,4.2,,,,,,,,,,,,,,,,,,,,,,,69058.0,2328840.0,3.0,163107.0,-3.4,1.2,,,,,,,
40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908018.0,5.5,,,,,,,96830.0,2056509.0,4.7,,,,,,,,,,,,,,,,,,,,,,,66040.0,2007274.0,3.3,104574.0,-0.8,1.4,,,,,,,
45-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483210.0,3.0,,,,,,,81413.0,1648530.0,4.9,,,,,,,,,,,,,,,,,,,,,,,3049.0,1615522.0,0.2,44637.0,1.9,4.7,,,,,,,
50-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096210.0,3.0,,,,,,,43225.0,1136119.0,3.8,,,,,,,,,,,,,,,,,,,,,,,11959.0,1163705.0,1.0,32512.0,0.8,2.8,,,,,,,
55-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949705.0,1.6,,,,,,,29769.0,948391.0,3.1,,,,,,,,,,,,,,,,,,,,,,,7937.0,994370.0,0.8,15535.0,1.5,2.3,,,,,,,
60-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698778.0,2.5,,,,,,,4144.0,699211.0,0.6,,,,,,,,,,,,,,,,,,,,,,,2100.0,677123.0,0.3,17784.0,-1.9,0.3,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17712275.0,10.4,,,,,,,1368606.0,19043176.0,7.2,,,,,,,,,,,,,,,,,,,,,,,994642.0,18811023.0,5.3,1841918.0,-3.2,1.9,,,,,,,
15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,73933.0,1784269.0,4.1,,,,,,,,,,,,,,,,,,,47430.0,1575871.0,3.0,1454566.0,2.8,-0.2,-1.3
20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,352708.0,2491336.0,14.2,,,,,,,,,,,,,,,,,,,442936.0,2517389.0,17.6,2432576.0,15.0,-2.6,0.8
25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,224775.0,2992627.0,7.5,,,,,,,,,,,,,,,,,,,318799.0,2985707.0,10.7,3024104.0,8.7,-2.0,1.2
30-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,129376.0,3020017.0,4.3,,,,,,,,,,,,,,,,,,,205605.0,3106515.0,6.6,3219836.0,4.2,-2.4,-0.1
35-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70108.0,2302653.0,3.0,,,,,,,,,,,,,,,,,,,98455.0,2368934.0,4.2,2333759.0,3.9,-0.3,0.9
40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25861.0,1988423.0,1.3,,,,,,,,,,,,,,,,,,,96830.0,2056509.0,4.7,2090022.0,2.3,-2.4,1.0
45-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12538.0,1615254.0,0.8,,,,,,,,,,,,,,,,,,,81413.0,1648530.0,4.9,1648895.0,2.5,-2.4,1.7
50-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24812.0,1165623.0,2.1,,,,,,,,,,,,,,,,,,,43225.0,1136119.0,3.8,1189350.0,1.4,-2.4,-0.7
55-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15484.0,963513.0,1.6,,,,,,,,,,,,,,,,,,,29769.0,948391.0,3.1,1029931.0,3.0,-0.1,1.4
